REDCODE;ESCOLARIDAD_0;ESCOLARIDAD_1;ESCOLARIDAD_2;ESCOLARIDAD_3;ESCOLARIDAD_4;ESCOLARIDAD_5;ESCOLARIDAD_6;ESCOLARIDAD_7;ESCOLARIDAD_8;ESCOLARIDAD_9;ESCOLARIDAD_10;ESCOLARIDAD_11;ESCOLARIDAD_12;ESCOLARIDAD_13;ESCOLARIDAD_14;ESCOLARIDAD_15;ESCOLARIDAD_16;ESCOLARIDAD_17;ESCOLARIDAD_18;ESCOLARIDAD_19;ESCOLARIDAD_20;ESCOLARIDAD_21;Total
13201141005;101;25;46;106;119;91;224;114;410;166;285;141;972;45;77;74;40;46;0;5;0;0;3087
13201141006;48;11;14;55;76;42;124;52;263;79;174;90;792;24;71;54;53;47;0;3;1;3;2076
13201141007;16;5;10;17;14;23;51;37;163;73;122;73;928;38;102;85;71;94;0;4;0;0;1926
13201141008;105;50;42;58;115;95;132;117;376;155;245;131;1083;30;58;48;33;44;2;0;0;0;2919
13201151001;14;4;9;13;24;25;57;23;80;41;89;43;823;53;238;276;299;669;5;64;2;13;2864
13201151002;77;11;30;47;65;43;108;43;151;65;174;69;835;30;110;121;138;185;1;15;3;4;2325
13201151003;84;8;24;36;66;37;98;55;298;75;147;124;1069;36;128;129;102;172;0;11;0;3;2702
13201161001;42;12;24;42;63;59;96;98;320;136;206;89;848;25;78;62;28;58;0;0;0;0;2286
13201161002;24;4;8;4;13;14;32;16;88;33;90;52;635;43;182;168;174;308;2;20;1;2;1913
13201161003;55;8;8;27;38;31;101;56;170;90;182;90;1021;57;226;169;126;268;5;17;1;4;2750
13201161004;22;6;8;16;52;12;44;9;114;42;100;57;818;37;123;131;82;113;3;7;0;0;1796
13201161005;13;8;10;14;36;25;37;20;133;50;106;54;1084;47;153;125;95;119;2;11;1;1;2144
13201161006;34;13;11;27;34;21;63;30;189;65;149;90;1319;45;138;130;107;113;1;12;0;3;2594
13201161007;57;16;38;55;48;41;135;74;281;99;209;132;1233;40;149;105;132;166;2;13;1;0;3026
13201161008;5;4;9;7;11;7;29;15;37;34;59;29;428;20;63;61;68;116;0;10;1;1;1014
13201161009;13;3;6;16;14;13;43;31;90;39;70;34;720;27;100;114;73;93;1;5;0;0;1505
13201161010;4;0;4;5;9;11;10;11;65;29;59;46;661;38;131;132;93;125;0;6;1;0;1440
13201171001;30;20;27;52;87;40;96;60;251;104;203;81;1032;53;126;88;95;115;0;9;1;2;2572
13201171002;33;10;27;24;85;45;115;68;258;98;198;96;973;55;144;151;83;163;1;8;1;2;2638
13201171003;15;9;11;26;49;17;79;14;134;84;129;74;1102;83;313;260;269;527;1;36;5;2;3239
13201171004;10;9;7;9;34;13;54;21;78;45;139;70;847;60;264;277;278;584;9;63;9;2;2882
13201171005;25;5;10;32;29;18;80;47;175;95;169;109;1220;68;213;199;165;356;7;24;12;0;3058
13201171006;14;3;9;10;22;12;73;33;91;65;138;75;956;64;234;253;227;467;2;33;1;1;2783
13201171007;17;5;10;15;23;14;58;31;109;49;133;62;969;77;302;289;246;465;5;46;1;4;2930
13201171008;8;2;5;16;12;12;27;12;51;22;53;35;672;60;201;233;232;445;6;37;3;7;2151
